nm, %T
2000.000000, 93.694986
1998.000000, 93.498541
1996.000000, 93.446469
1994.000000, 93.371969
1992.000000, 93.225769
1990.000000, 93.174490
1988.000000, 93.065404
1986.000000, 92.955642
1984.000000, 92.882569
1982.000000, 92.761901
1980.000000, 92.676632
1978.000000, 92.588987
1976.000000, 92.479816
1974.000000, 92.382915
1972.000000, 92.267157
1970.000000, 92.192096
1968.000000, 92.099908
1966.000000, 92.077159
1964.000000, 91.921519
1962.000000, 91.749491
1960.000000, 91.618719
1958.000000, 91.605624
1956.000000, 91.516976
1954.000000, 91.404405
1952.000000, 91.382407
1950.000000, 91.228150
1948.000000, 91.100648
1946.000000, 91.042481
1944.000000, 90.860070
1942.000000, 90.736536
1940.000000, 90.678935
1938.000000, 90.506456
1936.000000, 90.438597
1934.000000, 90.366275
1932.000000, 90.181477
1930.000000, 90.131169
1928.000000, 90.052087
1926.000000, 89.885022
1924.000000, 89.839196
1922.000000, 89.707666
1920.000000, 89.500682
1918.000000, 89.454095
1916.000000, 89.303449
1914.000000, 89.115529
1912.000000, 89.105346
1910.000000, 89.003039
1908.000000, 88.893811
1906.000000, 88.887081
1904.000000, 88.750205
1902.000000, 88.597397
1900.000000, 88.544083
1898.000000, 88.369467
1896.000000, 88.239172
1894.000000, 88.162434
1892.000000, 88.007720
1890.000000, 87.933138
1888.000000, 87.859557
1886.000000, 87.712560
1884.000000, 87.648774
1882.000000, 87.554167
1880.000000, 87.390078
1878.000000, 87.313446
1876.000000, 87.165365
1874.000000, 86.985690
1872.000000, 86.930770
1870.000000, 86.786966
1868.000000, 86.640056
1866.000000, 86.576893
1864.000000, 86.433066
1862.000000, 86.310410
1860.000000, 86.224250
1858.000000, 86.096560
1856.000000, 86.029460
1854.000000, 85.934795
1852.000000, 85.794527
1850.000000, 85.714887
1848.000000, 85.571630
1846.000000, 85.438969
1844.000000, 85.360197
1842.000000, 85.234682
1840.000000, 85.125800
1838.000000, 85.029385
1836.000000, 84.923846
1834.000000, 84.826326
1832.000000, 84.709024
1830.000000, 84.592483
1828.000000, 84.485321
1826.000000, 84.391126
1824.000000, 84.272887
1822.000000, 84.144269
1820.000000, 84.030092
1818.000000, 83.900293
1816.000000, 83.791546
1814.000000, 83.707668
1812.000000, 83.589915
1810.000000, 83.482710
1808.000000, 83.369745
1806.000000, 83.230034
1804.000000, 83.118208
1802.000000, 83.008825
1800.000000, 82.873836
1798.000000, 82.789258
1796.000000, 82.679306
1794.000000, 82.549776
1792.000000, 82.461185
1790.000000, 82.335554
1788.000000, 82.227366
1786.000000, 82.151484
1784.000000, 82.028440
1782.000000, 81.923109
1780.000000, 81.827136
1778.000000, 81.693438
1776.000000, 81.584940
1774.000000, 81.487854
1772.000000, 81.360524
1770.000000, 81.272928
1768.000000, 81.188307
1766.000000, 81.058564
1764.000000, 80.963159
1762.000000, 80.876100
1760.000000, 80.740358
1758.000000, 80.636147
1756.000000, 80.545281
1754.000000, 80.425419
1752.000000, 80.324209
1750.000000, 80.222615
1748.000000, 80.110256
1746.000000, 80.027154
1744.000000, 79.913229
1742.000000, 79.794714
1740.000000, 79.725596
1738.000000, 79.619141
1736.000000, 79.501878
